Index,Value
0.0,78.00220743974315
1.0,78.02079246375013
2.0,78.03520993462627
3.0,78.1762466986673
4.0,78.17907895473826
5.0,78.18547330209272
6.0,78.18918205238595
7.0,78.2310644168909
8.0,78.24168791781582
9.0,78.24585479863846
10.0,78.25732134578507
11.0,78.27390496628904
12.0,78.27578263888888
13.0,78.38064352705719
14.0,78.3950442716521
15.0,78.39809678037362
16.0,78.39869507472685
17.0,78.43218730383578
18.0,78.47263205711376
19.0,78.47491309107694
20.0,78.52701323259161
21.0,78.53858085509944
22.0,78.5415376670515
23.0,78.54349941650884
24.0,78.55719556533195
25.0,78.59455438182243
26.0,78.59870653562082
27.0,78.65414273460077
28.0,78.65780545193782
29.0,78.66376413131505
30.0,78.6674210333153
31.0,78.68365814285879
32.0,78.7209140962127
33.0,78.72675520307166
34.0,78.73365551657577
35.0,78.75689337102719
36.0,78.82502590169196
37.0,78.838073926271
38.0,78.85762425756546
39.0,78.85970125953433
40.0,78.86564196940955
41.0,78.87959159837543
42.0,78.88565949138962
43.0,78.91799901137685
44.0,79.00418023568855
45.0,79.02566139757118
46.0,79.06132703600703
47.0,79.07774321451603
48.0,79.08594815239412
49.0,79.10190645037102
50.0,79.12050833903739
51.0,79.12180888306352
52.0,79.1599195468027
53.0,79.1642299297122
54.0,79.18345515897956
55.0,79.20976548162443
56.0,79.2322945752586
57.0,79.32044739065395
58.0,79.33170411987798
59.0,79.37033016567729
60.0,79.41704958172525
61.0,79.46724264488802
62.0,79.5067198099327
63.0,79.52722213273817
64.0,79.53858818781973
65.0,79.54187601363091
66.0,79.55041729440674
67.0,79.62002196776682
68.0,79.65174754786011
69.0,79.72570204788062
70.0,79.73099683240832
71.0,79.75333010842182
72.0,79.78095421420649
73.0,79.83984669377465
74.0,79.8651068528362
75.0,79.9026817794653
76.0,79.92893949873533
77.0,79.97605600338483
78.0,79.995313244671
79.0,80.0068920990235
80.0,80.057852871532
81.0,80.09367607862865
82.0,80.09536964740383
83.0,80.1404586746821
84.0,80.1659765605517
85.0,80.18332791266265
86.0,80.1890421550979
87.0,80.21798532614915
88.0,80.2854145599402
89.0,80.3189651555537
90.0,80.37331312598398
91.0,80.41833594363858
92.0,80.47637016884244
93.0,80.51061541435274
94.0,80.52457265974124
95.0,80.53404139549093
96.0,80.59294942408215
97.0,80.60279491621928
98.0,80.60787340119249
99.0,80.62049199643576
100.0,80.63114087422926
101.0,80.63846543900219
102.0,80.647697419583
103.0,80.65547736790025
104.0,80.78079535113076
105.0,80.80675713504874
106.0,80.826576801747
107.0,80.82967542613052
108.0,80.86020765814631
109.0,80.87864539721473
110.0,80.9902446889918
111.0,81.06006677720991
112.0,81.0829625681065
113.0,81.13938920984943
114.0,81.14526811387576
115.0,81.15594657727483
116.0,81.16807886894716
117.0,81.1775800566925
118.0,81.18949752414248
119.0,81.24539585283661
120.0,81.28253018902896
121.0,81.31641677948461
122.0,81.32028758243949
123.0,81.36865883402292
124.0,81.38029539310904
125.0,81.38688814164608
126.0,81.42005423416963
127.0,81.47018259931258
128.0,81.47544371482851
129.0,81.55187963346344
130.0,81.57575791191462
131.0,81.58643398498643
132.0,81.60712290100064
133.0,81.7086715033265
134.0,81.73252709442208
135.0,81.75077784057243
136.0,81.7702773535527
137.0,81.80765201571681
138.0,81.81954675151121
139.0,81.8698894859408
140.0,81.99944246031038
141.0,82.01337774005862
142.0,82.0431480658632
143.0,82.06688867219064
144.0,82.09171194883476
145.0,82.11793935485274
146.0,82.1412933719527
147.0,82.15147847118251
148.0,82.16714026683805
149.0,82.23186321169528
150.0,82.24187654377558
151.0,82.30009763312997
152.0,82.44663189758175
153.0,82.54511360725586
154.0,82.57455638461995
155.0,82.62343460602973
156.0,82.64511871324198
157.0,82.65198552221852
158.0,82.6693522439827
159.0,82.74148885754111
160.0,82.80309972098219
161.0,82.81201831624004
162.0,82.84017803188125
163.0,82.93783793512473
164.0,82.98508790236946
165.0,83.0400742461218
166.0,83.06664842335447
167.0,83.09094254553119
168.0,83.15620549360185
169.0,83.20587918862901
170.0,83.31116231561825
171.0,83.34107212930567
172.0,83.34725913487688
173.0,83.38640867552864
174.0,83.40088712953643
175.0,83.44675743430588
176.0,83.45065888305892
177.0,83.5011586861548
178.0,83.56827914070114
179.0,83.59855897070256
180.0,83.71712104890929
181.0,83.74797425679859
182.0,83.77080774991319
183.0,83.83866063102121
184.0,83.89571797485306
185.0,84.01504242334613
186.0,84.0202861040323
187.0,84.22653052836662
188.0,84.28686592182609
189.0,84.33374854103366
190.0,84.65108744087789
191.0,84.68460034309663
192.0,84.8430799819069
193.0,84.855723922045
194.0,84.91291606930876
195.0,84.96158681045198
196.0,85.00990989070422
197.0,85.1248631895008
198.0,85.13535194659462
199.0,85.15344375318824
200.0,85.18848931896785
201.0,85.22970192466401
202.0,85.32862923113576
203.0,85.35851944369377
204.0,85.38445763511686
205.0,85.4008203541879
206.0,85.66507452384596
207.0,85.70739323586497
208.0,85.79396973478813
209.0,85.83651722357571
210.0,86.03024287445908
211.0,86.3562708987054
212.0,86.37694775242278
213.0,86.43611435588467
214.0,86.52791708479903
215.0,86.77503112398253
216.0,86.89287005494309
217.0,86.96361092654588
218.0,87.08208399386734
219.0,87.51787439275824
220.0,88.33432527361843
221.0,88.34448420115368
222.0,88.62162642448148
223.0,88.71745878228421
224.0,88.82055691411541
225.0,88.86235529769175
226.0,89.00823527630595
227.0,89.19833860091819
228.0,89.49819163833088
229.0,89.57811362140943
